SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Jan 19 14:58:45 CET 2022
User: femtolab_admin
Dark Spectrum Present: No
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: HR+D2113
Integration Time (usec): 100000 (HR+D2113)
Spectra Averaged: 50 (HR+D2113)
Boxcar Smoothing: 0 (HR+D2113)
Correct for Electrical Dark: No (HR+D2113)
Strobe/Lamp Enabled: No (HR+D2113)
Correct for Detector Non-linearity: No (HR+D2113)
Correct for Stray Light: No (HR+D2113)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
187.65	553.90
188.13	552.78
188.60	547.16
189.07	542.46
189.54	544.56
190.01	547.28
190.49	548.94
190.96	549.04
191.43	553.04
191.90	556.38
192.37	559.30
192.85	565.88
193.32	571.46
193.79	574.28
194.26	574.66
194.73	582.60
195.20	588.78
195.68	594.26
196.15	599.16
196.62	600.96
197.09	606.34
197.56	610.94
198.03	612.58
198.51	614.80
198.98	619.74
199.45	621.56
199.92	627.66
200.39	630.66
200.86	633.14
201.34	632.66
201.81	635.54
202.28	640.70
202.75	638.72
203.22	641.68
203.69	642.28
204.16	643.18
204.63	642.74
205.11	641.08
205.58	644.32
206.05	644.42
206.52	649.28
206.99	645.70
207.46	645.94
207.93	644.44
208.40	643.58
208.87	645.26
209.35	642.00
209.82	640.66
210.29	639.66
210.76	641.56
211.23	643.08
211.70	642.72
212.17	639.96
212.64	641.86
213.11	639.60
213.58	639.64
214.05	644.56
214.53	637.06
215.00	640.30
215.47	638.50
215.94	638.68
216.41	639.54
216.88	636.78
217.35	636.78
217.82	636.74
218.29	637.96
218.76	639.34
219.23	638.42
219.70	637.82
220.17	637.10
220.64	638.38
221.11	638.10
221.58	638.08
222.05	637.64
222.52	637.42
222.99	640.08
223.46	637.80
223.93	638.70
224.41	639.12
224.88	636.20
225.35	638.32
225.82	636.76
226.29	637.42
226.76	638.82
227.23	639.58
227.70	636.12
228.17	639.78
228.64	636.62
229.11	640.74
229.58	635.94
230.05	640.24
230.52	639.34
230.99	639.06
231.46	641.12
231.93	638.86
232.40	641.66
232.87	638.06
233.34	642.22
233.81	641.30
234.27	640.06
234.74	640.02
235.21	639.84
235.68	642.30
236.15	638.76
236.62	641.52
237.09	639.66
237.56	639.42
238.03	639.98
238.50	640.52
238.97	639.36
239.44	640.00
239.91	643.58
240.38	642.42
240.85	638.80
241.32	639.28
241.79	639.76
242.26	639.62
242.73	641.04
243.20	642.42
243.66	641.62
244.13	640.40
244.60	640.14
245.07	640.20
245.54	640.78
246.01	641.76
246.48	642.48
246.95	642.92
247.42	643.92
247.89	642.18
248.36	640.98
248.82	642.14
249.29	642.68
249.76	642.60
250.23	641.74
250.70	643.02
251.17	640.32
251.64	639.96
252.11	640.60
252.58	643.04
253.04	639.76
253.51	643.18
253.98	639.66
254.45	642.08
254.92	641.64
255.39	643.46
255.86	640.94
256.33	640.98
256.79	640.82
257.26	640.62
257.73	642.68
258.20	641.52
258.67	642.68
259.14	642.16
259.60	643.82
260.07	642.96
260.54	642.48
261.01	640.82
261.48	640.00
261.95	641.46
262.41	644.14
262.88	648.06
263.35	646.44
263.82	643.50
264.29	643.54
264.76	640.98
265.22	646.08
265.69	640.98
266.16	643.66
266.63	641.64
267.10	643.82
267.56	644.86
268.03	642.74
268.50	643.62
268.97	643.16
269.44	641.38
269.90	645.06
270.37	643.14
270.84	644.24
271.31	643.90
271.78	642.22
272.24	642.18
272.71	642.90
273.18	646.60
273.65	641.02
274.11	644.46
274.58	644.98
275.05	641.78
275.52	642.48
275.98	642.04
276.45	643.60
276.92	642.02
277.39	642.22
277.85	644.62
278.32	644.56
278.79	641.22
279.26	643.38
279.72	642.22
280.19	643.34
280.66	643.08
281.13	644.48
281.59	643.04
282.06	641.86
282.53	641.48
283.00	647.84
283.46	644.58
283.93	645.94
284.40	643.78
284.86	644.74
285.33	640.24
285.80	642.46
286.26	643.72
286.73	642.88
287.20	642.58
287.67	642.38
288.13	643.14
288.60	645.12
289.07	644.12
289.53	643.46
290.00	644.22
290.47	642.08
290.93	644.24
291.40	643.38
291.87	642.24
292.33	645.06
292.80	642.68
293.27	643.02
293.73	642.90
294.20	643.24
294.67	644.96
295.13	644.00
295.60	642.02
296.07	644.42
296.53	643.00
297.00	647.64
297.47	645.44
297.93	646.34
298.40	642.86
298.87	645.44
299.33	643.40
299.80	645.54
300.26	643.14
300.73	644.84
301.20	645.08
301.66	642.92
302.13	644.48
302.60	643.06
303.06	645.34
303.53	647.06
303.99	642.24
304.46	643.10
304.93	648.96
305.39	646.14
305.86	644.54
306.32	644.62
306.79	643.08
307.26	645.24
307.72	643.64
308.19	646.90
308.65	647.64
309.12	646.72
309.59	644.34
310.05	643.86
310.52	646.40
310.98	645.64
311.45	646.92
311.91	644.26
312.38	643.44
312.85	644.28
313.31	646.56
313.78	644.12
314.24	645.42
314.71	644.82
315.17	648.74
315.64	643.86
316.10	645.30
316.57	652.50
317.04	646.70
317.50	646.16
317.97	645.22
318.43	647.24
318.90	646.32
319.36	647.04
319.83	644.60
320.29	644.82
320.76	644.46
321.22	646.52
321.69	644.34
322.15	644.82
322.62	643.02
323.08	646.20
323.55	645.06
324.01	643.52
324.48	644.50
324.94	645.30
325.41	645.64
325.87	645.40
326.34	643.62
326.80	644.20
327.27	643.32
327.73	646.78
328.20	644.28
328.66	645.18
329.13	645.12
329.59	643.50
330.06	647.98
330.52	645.64
330.99	645.04
331.45	646.26
331.92	648.38
